month,store_id,product_id,opening_stock,received_qty,sold_qty,closing_stock,stockout_flag
2019-01,1,204,176,425,106,495,0
2019-01,1,267,170,483,170,483,1
2019-01,1,153,260,203,226,237,0
2019-01,1,10,184,248,184,248,1
2019-01,1,234,166,419,166,419,1
2019-01,1,227,307,0,125,182,0
2019-01,1,197,266,0,85,181,0
2019-01,1,110,248,236,248,236,1
2019-01,1,6,173,294,173,294,1
2019-01,1,176,248,315,248,315,1
2019-01,1,238,340,360,332,368,0
2019-01,1,58,216,217,207,226,0
2019-01,1,219,174,253,174,253,1
2019-01,1,46,207,479,207,479,1
2019-01,1,183,263,326,230,359,0
2019-01,1,222,304,0,183,121,0
2019-01,1,290,310,375,310,375,1
2019-01,1,212,188,446,188,446,1
2019-01,1,149,175,235,92,318,0
2019-01,1,166,322,0,99,223,0
2019-01,1,79,214,341,214,341,1
2019-01,1,114,353,0,222,131,0
2019-01,1,250,241,250,241,250,1
2019-01,1,251,302,262,265,299,0
2019-01,1,105,339,0,204,135,0
2019-01,1,43,299,0,137,162,0
2019-01,1,282,235,369,235,369,1
2019-01,1,296,219,300,133,386,0
2019-01,1,158,374,252,343,283,0
2019-01,1,239,209,204,187,226,0
2019-01,1,18,252,461,252,461,1
2019-01,1,165,258,0,126,132,0
2019-01,1,34,248,468,223,493,0
2019-01,1,25,263,305,203,365,0
2019-01,1,216,307,344,226,425,0
2019-01,1,120,269,257,171,355,0
2019-01,1,8,332,316,308,340,0
2019-01,1,91,211,328,206,333,0
2019-01,1,47,207,200,201,206,0
2019-01,1,74,388,0,175,213,0
2019-01,1,94,275,247,197,325,0
2019-01,1,77,238,471,238,471,1
2019-01,1,287,338,268,271,335,0
2019-01,1,61,171,275,171,275,1
2019-01,1,78,303,285,223,365,0
2019-01,1,64,334,268,299,303,0
2019-01,1,235,196,437,173,460,0
2019-01,1,230,339,417,283,473,0
2019-01,1,112,367,0,118,249,0
2019-01,1,232,249,421,249,421,1
2019-01,1,181,250,0,102,148,0
2019-01,1,145,399,0,89,310,0
2019-01,1,240,395,0,179,216,0
2019-01,1,76,183,422,183,422,1
2019-01,1,298,287,346,287,346,1
2019-01,1,279,335,0,175,160,0
2019-01,1,98,150,215,83,282,0
2019-01,1,93,173,457,173,457,1
