product_id,product_name,brand,manufacturer,category,sub_category,pack_size,uom,mrp,cost_price,gst_pct,is_private_label,shelf_life_days
1,Pears Soap 500ml,Pears,HUL,Personal Care,Soap,500ml,kg/ml,208,149,12,0,394
2,Parle Cream Biscuit 1kg,Parle,Parle Products,Biscuits,Cream Biscuit,1kg,kg/ml,171,124,5,1,523
3,Lays Namkeen 200g,Lays,PepsiCo,Snacks,Namkeen,200g,kg/ml,211,168,5,1,493
4,Amul Milk 100g,Amul,GCMMF,Dairy,Milk,100g,kg/ml,78,53,18,1,423
5,Vim Detergent Powder 2kg,Vim,HUL,Home Care,Detergent Powder,2kg,kg/ml,326,239,5,0,453
6,Lays Chips 200g,Lays,PepsiCo,Snacks,Chips,200g,kg/ml,284,171,12,1,271
7,Lux Toothpaste 500ml,Lux,HUL,Personal Care,Toothpaste,500ml,kg/ml,54,42,12,1,567
8,Dhara Palm Oil 5kg,Dhara,GCMMF,Edible Oil,Palm Oil,5kg,kg/ml,125,89,5,0,581
9,Dhara Palm Oil 1kg,Dhara,GCMMF,Edible Oil,Palm Oil,1kg,kg/ml,289,215,18,1,641
10,Dove Soap 500ml,Dove,HUL,Personal Care,Soap,500ml,kg/ml,232,157,12,0,232
11,Surf Excel Dishwash Bar 1L,Surf Excel,HUL,Home Care,Dishwash Bar,1L,kg/ml,176,133,5,0,700
12,Vim Detergent Powder 500g,Vim,HUL,Home Care,Detergent Powder,500g,kg/ml,100,74,18,0,558
13,Real Juice 1L,Real,Dabur,Beverages,Juice,1L,kg/ml,47,36,12,0,227
14,Dove Toothpaste 500ml,Dove,HUL,Personal Care,Toothpaste,500ml,kg/ml,312,232,12,0,641
15,Parle Glucose Biscuit 200ml,Parle,Parle Products,Biscuits,Glucose Biscuit,200ml,kg/ml,274,178,18,0,386
16,Dove Shampoo 500g,Dove,HUL,Personal Care,Shampoo,500g,kg/ml,82,63,5,1,275
17,Bingo Namkeen 200ml,Bingo,ITC,Snacks,Namkeen,200ml,kg/ml,250,170,18,0,215
18,Real Energy Drink 500g,Real,Dabur,Beverages,Energy Drink,500g,kg/ml,105,81,12,0,207
19,Lays Namkeen 200ml,Lays,PepsiCo,Snacks,Namkeen,200ml,kg/ml,250,195,5,0,462
