product_id,category,mrp,cost_price
1,Beverages,174,68
2,Beverages,246,88
3,Snacks,161,81
4,Pulses,99,207
5,Rice,281,197
6,Rice,211,97
7,Home Care,196,136
8,Pulses,120,139
9,Biscuits,231,222
10,Snacks,48,156
11,Biscuits,68,181
12,Biscuits,155,95
13,Biscuits,202,246
14,Pulses,170,54
15,Biscuits,271,20
16,Beverages,249,59
17,Home Care,155,83
18,Home Care,87,169
19,Atta,177,79
20,Sugar,30,83
21,Rice,219,112
22,Rice,220,91
23,Sugar,146,30
24,Pulses,163,124
25,Edible Oil,87,248
26,Pulses,73,33
27,Rice,202,79
28,Rice,189,49
29,Sugar,202,54
30,Biscuits,178,232
31,Pulses,109,184
32,Dairy,242,24
33,Sugar,232,102
34,Beverages,281,142
35,Rice,258,97
36,Sugar,193,173
37,Pulses,256,81
38,Rice,176,151
39,Edible Oil,49,108
40,Sugar,76,61
41,Snacks,262,108
42,Rice,43,165
43,Pulses,172,59
44,Atta,30,91
45,Dairy,83,58
46,Personal Care,288,123
47,Biscuits,173,33
48,Personal Care,41,51
49,Pulses,253,198
50,Beverages,185,144
51,Beverages,37,185
52,Atta,151,116
53,Biscuits,193,42
54,Snacks,119,82
55,Atta,165,162
56,Home Care,215,244
57,Personal Care,207,172
58,Atta,57,164
59,Personal Care,249,244
60,Rice,70,213
61,Beverages,257,225
62,Rice,221,72
63,Dairy,174,123
64,Home Care,230,123
65,Biscuits,241,198
66,Snacks,249,58
67,Personal Care,269,198
68,Snacks,75,217
69,Personal Care,64,153
70,Pulses,282,86
71,Atta,111,154
72,Dairy,285,198
73,Beverages,226,219
74,Personal Care,39,61
75,Snacks,271,211
76,Dairy,280,34
77,Edible Oil,34,130
78,Edible Oil,148,176
79,Rice,94,52
80,Beverages,175,241
81,Pulses,253,174
82,Snacks,268,183
83,Atta,206,176
84,Atta,296,57
85,Snacks,92,204
86,Biscuits,246,116
87,Pulses,206,248
88,Dairy,127,174
89,Personal Care,134,202
90,Biscuits,128,52
91,Personal Care,35,215
92,Personal Care,226,105
93,Biscuits,162,85
94,Rice,288,29
95,Edible Oil,52,24
96,Personal Care,82,142
97,Biscuits,194,93
98,Biscuits,231,116
99,Home Care,112,137
100,Sugar,174,57
101,Rice,114,160
102,Beverages,107,178
103,Sugar,30,66
104,Sugar,80,247
105,Snacks,202,128
106,Edible Oil,234,235
107,Biscuits,289,199
108,Edible Oil,63,203
109,Pulses,124,34
110,Snacks,101,176
111,Beverages,68,155
112,Edible Oil,183,24
113,Atta,279,176
114,Personal Care,191,66
115,Pulses,147,87
116,Rice,288,95
117,Beverages,297,192
118,Pulses,83,149
119,Personal Care,265,174
120,Snacks,251,114
121,Personal Care,280,134
122,Sugar,141,183
123,Personal Care,284,55
124,Sugar,236,45
125,Snacks,258,62
126,Dairy,95,46
127,Sugar,104,88
128,Rice,132,167
129,Personal Care,221,30
130,Personal Care,281,93
131,Rice,255,123
132,Atta,127,57
133,Biscuits,278,153
134,Dairy,195,219
135,Beverages,59,42
136,Sugar,276,66
137,Rice,135,109
138,Snacks,80,65
139,Sugar,110,126
140,Biscuits,162,159
141,Snacks,167,237
