store_id,store_type,city,state,cluster
1,Kirana,Mumbai,TS,4
2,Online,Delhi,TS,2
3,DMart,Chennai,MH,6
4,Kirana,Pune,DL,6
5,Kirana,Bengaluru,TN,11
6,Online,Mumbai,KA,1
7,DMart,Hyderabad,MH,9
8,DMart,Mumbai,DL,11
9,Kirana,Hyderabad,MH,6
10,Reliance,Pune,DL,3
11,Kirana,Pune,DL,4
12,Kirana,Pune,TN,11
13,Kirana,Hyderabad,DL,4
14,Kirana,Mumbai,MH,3
15,Online,Pune,DL,10
16,DMart,Delhi,TN,3
17,Online,Hyderabad,TN,3
18,Online,Hyderabad,MH,4
19,Online,Mumbai,TS,7
20,Kirana,Hyderabad,TS,4
21,Reliance,Hyderabad,DL,9
22,DMart,Pune,KA,1
23,Reliance,Mumbai,DL,8
24,Online,Pune,MH,7
25,Online,Pune,MH,2
26,Reliance,Mumbai,MH,8
27,Reliance,Bengaluru,MH,1
28,Reliance,Pune,MH,11
29,Online,Delhi,TN,9
30,Online,Delhi,TS,9
31,DMart,Hyderabad,MH,2
32,DMart,Delhi,KA,7
33,Online,Hyderabad,KA,10
34,Reliance,Bengaluru,KA,3
35,Reliance,Mumbai,KA,7
36,DMart,Mumbai,TN,10
37,Online,Mumbai,KA,9
38,DMart,Delhi,MH,4
39,DMart,Bengaluru,DL,1
40,Kirana,Delhi,KA,2
41,Kirana,Delhi,TN,1
42,Kirana,Bengaluru,TN,5
43,Reliance,Bengaluru,KA,5
44,Online,Bengaluru,DL,11
45,Online,Bengaluru,KA,7
46,Online,Mumbai,TN,9
47,Online,Chennai,TS,9
48,Kirana,Chennai,MH,3
49,Reliance,Bengaluru,TN,3
50,Reliance,Chennai,KA,3
51,Kirana,Chennai,MH,4
52,Reliance,Bengaluru,KA,8
53,Kirana,Chennai,KA,6
54,Online,Delhi,TS,8
55,Kirana,Hyderabad,MH,1
56,Online,Hyderabad,MH,8
57,Online,Bengaluru,TS,4
58,DMart,Mumbai,TN,11
59,Kirana,Bengaluru,KA,1
60,DMart,Mumbai,DL,8
61,Kirana,Hyderabad,KA,4
62,Kirana,Bengaluru,KA,6
63,DMart,Pune,TN,8
64,DMart,Delhi,KA,4
65,Kirana,Chennai,TS,3
66,Reliance,Mumbai,TS,9
67,Online,Pune,MH,3
68,DMart,Chennai,DL,9
69,Online,Chennai,KA,2
70,Reliance,Bengaluru,KA,2
71,Reliance,Chennai,TN,2
72,Reliance,Delhi,TS,6
73,DMart,Pune,DL,3
74,Reliance,Chennai,MH,9
75,DMart,Bengaluru,TS,4
76,Reliance,Delhi,MH,1
77,Online,Hyderabad,TN,4
78,Online,Pune,TN,1
79,Kirana,Chennai,KA,5
80,Online,Bengaluru,DL,4
