month,store_id,product_id,opening_stock,received_qty,sold_qty,closing_stock,stockout_flag,month_num,sales_qty,lost_sales_qty,promo_flag,corrected_demand,category,brand,cluster,store_type,lag_1,lag_2,rolling_mean_3,rolling_std_3
2020-09-01,1,4,367,302,309,360,0,9,24.0,24.0,0,333.0,Dairy,Amul,4,Kirana,284.0,192.0,269.6666666666667,71.58444896297891
2019-08-01,1,5,256,0,89,167,0,8,20.0,20.0,0,109.0,Home Care,Vim,4,Kirana,228.0,236.0,191.0,71.12664760833313
2020-10-01,1,5,264,404,264,404,1,10,3.0,3.0,1,267.0,Home Care,Vim,4,Kirana,284.0,235.0,262.0,24.879710609249457
2020-04-01,1,6,230,291,230,291,1,4,17.0,17.0,1,247.0,Snacks,Lays,4,Kirana,176.0,179.0,200.66666666666666,40.15387071420803
2020-03-01,1,7,399,0,257,142,0,3,13.0,13.0,0,270.0,Personal Care,Lux,4,Kirana,312.0,197.0,259.6666666666667,58.19221024616038
2020-05-01,1,7,352,430,296,486,0,5,14.0,14.0,0,310.0,Personal Care,Lux,4,Kirana,270.0,312.0,297.3333333333333,23.692474191889122
2020-08-01,1,7,295,409,213,491,0,8,28.0,28.0,0,241.0,Personal Care,Lux,4,Kirana,310.0,270.0,273.6666666666667,34.64582706955244
2019-03-01,1,8,322,213,322,213,1,3,23.0,23.0,1,345.0,Edible Oil,Dhara,4,Kirana,307.0,327.0,326.3333333333333,19.008769905844343
2019-06-01,1,8,310,215,219,306,0,6,15.0,15.0,0,234.0,Edible Oil,Dhara,4,Kirana,345.0,307.0,295.3333333333333,56.41217362709341
2020-10-01,1,8,316,318,207,427,0,10,21.0,21.0,0,228.0,Edible Oil,Dhara,4,Kirana,234.0,345.0,269.0,65.88626564011653
2020-11-01,1,8,258,0,109,149,0,11,24.0,24.0,0,133.0,Edible Oil,Dhara,4,Kirana,228.0,234.0,198.33333333333334,56.659803505954144
2020-02-01,1,9,368,0,101,267,0,2,18.0,18.0,0,119.0,Edible Oil,Dhara,4,Kirana,338.0,108.0,188.33333333333334,129.73177457097137
2020-10-01,1,9,184,442,145,481,0,10,13.0,13.0,0,158.0,Edible Oil,Dhara,4,Kirana,119.0,338.0,205.0,116.820374935197
2020-02-01,1,10,379,428,309,498,0,2,4.0,4.0,0,313.0,Personal Care,Dove,4,Kirana,117.0,194.0,208.0,98.7471518576612
2020-07-01,1,10,357,487,256,588,0,7,22.0,22.0,0,278.0,Personal Care,Dove,4,Kirana,313.0,117.0,236.0,104.53229166147655
2020-11-01,1,10,246,0,108,138,0,11,44.0,44.0,0,152.0,Personal Care,Dove,4,Kirana,278.0,313.0,247.66666666666666,84.67782078757892
2019-05-01,1,11,339,0,166,173,0,5,22.0,22.0,0,188.0,Home Care,Surf Excel,4,Kirana,265.0,183.0,212.0,45.967379738244816
2019-10-01,1,11,247,380,247,380,1,10,11.0,11.0,1,258.0,Home Care,Surf Excel,4,Kirana,188.0,265.0,237.0,42.579337712087536
2020-06-01,1,11,265,308,265,308,1,6,5.0,5.0,1,270.0,Home Care,Surf Excel,4,Kirana,258.0,188.0,238.66666666666666,44.286943147312996
2020-07-01,1,12,295,396,295,396,1,7,5.0,5.0,1,300.0,Home Care,Vim,4,Kirana,130.0,233.0,221.0,85.63293758829018
2020-09-01,1,12,345,317,252,410,0,9,12.0,12.0,0,264.0,Home Care,Vim,4,Kirana,300.0,130.0,231.33333333333334,89.58422480176593
2020-07-01,1,13,355,0,155,200,0,7,10.0,10.0,0,165.0,Beverages,Real,4,Kirana,213.0,177.0,185.0,24.979991993593593
2019-09-01,1,15,151,227,151,227,1,9,13.0,13.0,1,164.0,Biscuits,Parle,4,Kirana,270.0,213.0,215.66666666666666,53.05029060555025
2020-10-01,1,15,397,342,305,434,0,10,29.0,29.0,0,334.0,Biscuits,Parle,4,Kirana,164.0,270.0,256.0,85.86035173466273
2020-01-01,1,16,207,407,207,407,1,1,7.0,7.0,1,214.0,Personal Care,Dove,4,Kirana,250.0,180.0,214.66666666666666,35.00476158086687
2020-07-01,1,16,341,0,192,149,0,7,21.0,21.0,0,213.0,Personal Care,Dove,4,Kirana,214.0,250.0,225.66666666666666,21.079215671683173
2020-09-01,1,16,355,476,339,492,0,9,27.0,27.0,0,366.0,Personal Care,Dove,4,Kirana,213.0,214.0,264.3333333333333,88.04733575374858
2019-10-01,1,18,371,200,323,248,0,10,30.0,30.0,0,353.0,Beverages,Real,4,Kirana,294.0,270.0,305.6666666666667,42.712215270731775
2019-05-01,1,19,168,430,168,430,1,5,10.0,10.0,1,178.0,Snacks,Lays,4,Kirana,105.0,280.0,187.66666666666666,87.89956389728752
2020-03-01,1,19,389,0,169,220,0,3,18.0,18.0,0,187.0,Snacks,Lays,4,Kirana,178.0,105.0,156.66666666666666,44.970360609331706
2020-01-01,1,21,257,0,91,166,0,1,3.0,3.0,0,94.0,Beverages,Real,4,Kirana,214.0,295.0,201.0,101.12863096077193
2020-05-01,1,21,318,0,160,158,0,5,9.0,9.0,0,169.0,Beverages,Real,4,Kirana,94.0,214.0,159.0,60.6217782649107
2020-05-01,1,22,167,278,167,278,1,5,13.0,13.0,1,180.0,Dairy,Mother Dairy,4,Kirana,217.0,204.0,200.33333333333334,18.770544300401454
